Company,ISIN,GICSSectorName,Country,Region
"Huaneng Power International, Inc.",CNE1000006Z4,Utilities,CHINA,EM
"CEZ, a. s.",CZ0005112300,Utilities,CZECH REPUBLIC,EM
United Internet AG,DE0005089031,Information Technology,GERMANY,EUR
Deutsche Bank Aktiengesellschaft,DE0005140008,Financials,GERMANY,EUR
Bayerische Motoren Werke Aktiengesellschaft,DE0005190003,Consumer Discretionary,GERMANY,EUR
Beiersdorf Aktiengesellschaft,DE0005200000,Consumer Staples,GERMANY,EUR
LEONI AG,DE0005408884,Consumer Discretionary,GERMANY,EUR
Continental Aktiengesellschaft,DE0005439004,Consumer Discretionary,GERMANY,EUR
Deutsche Telekom AG,DE0005557508,Communication Services,GERMANY,EUR
Fresenius SE & Co. KGaA,DE0005785604,Health Care,GERMANY,EUR
Fresenius Medical Care AG & Co. KGaA,DE0005785802,Health Care,GERMANY,EUR
Bilfinger SE,DE0005909006,Industrials,GERMANY,EUR
Heidelberg Materials AG,DE0006047004,Materials,GERMANY,EUR
Henkel AG & Co. KGaA,DE0006048432,Consumer Staples,GERMANY,EUR
HOCHTIEF Aktiengesellschaft,DE0006070006,Industrials,GERMANY,EUR
Salzgitter AG,DE0006202005,Materials,GERMANY,EUR
MLP SE,DE0006569908,Financials,GERMANY,EUR
Merck KGaA,DE0006599905,Health Care,GERMANY,EUR
GEA Group Aktiengesellschaft,DE0006602006,Industrials,GERMANY,EUR
PUMA SE,DE0006969603,Consumer Discretionary,GERMANY,EUR
Rheinmetall AG,DE0007030009,Industrials,GERMANY,EUR
RWE Aktiengesellschaft,DE0007037129,Utilities,GERMANY,EUR
Rhoen-Klinikum AG,DE0007042301,Health Care,GERMANY,EUR
Mercedes-Benz Group AG,DE0007100000,Consumer Discretionary,GERMANY,EUR
SAP SE,DE0007164600,Information Technology,GERMANY,EUR
Siemens Aktiengesellschaft,DE0007236101,Industrials,GERMANY,EUR
CECONOMY AG,DE0007257503,Consumer Staples,GERMANY,EUR
Sudzucker AG,DE0007297004,Consumer Staples,GERMANY,EUR
Heidelberger Druckmaschinen Aktiengesellschaft,DE0007314007,Industrials,GERMANY,EUR
ThyssenKrupp AG,DE0007500001,Materials,GERMANY,EUR
Washtec AG,DE0007507501,Industrials,GERMANY,EUR
Volkswagen AG,DE0007664039,Consumer Discretionary,GERMANY,EUR
Deutsche Lufthansa AG,DE0008232125,Industrials,GERMANY,EUR
Hannover Ruck SE,DE0008402215,Financials,GERMANY,EUR
Allianz SE,DE0008404005,Financials,GERMANY,EUR
Munich Re AG,DE0008430026,Financials,GERMANY,EUR
Aixtron SE,DE000A0WMPJ6,Information Technology,GERMANY,EUR
Adidas AG,DE000A1EWWW0,Consumer Discretionary,GERMANY,EUR
Software Aktiengesellschaft,DE000A2GS401,Information Technology,GERMANY,EUR
BASF SE,DE000BASF111,Materials,GERMANY,EUR
Bayer Aktiengesellschaft,DE000BAY0017,Materials,GERMANY,EUR
Commerzbank AG,DE000CBK1001,Financials,GERMANY,EUR
McKesson Europe AG,DE000CLS1001,Health Care,GERMANY,EUR
E.ON SE,DE000ENAG999,Utilities,GERMANY,EUR
K+S Aktiengesellschaft,DE000KSAG888,Materials,GERMANY,EUR
ProSiebenSat.1 Media SE,DE000PSM7770,Consumer Discretionary,GERMANY,EUR
TUI AG,DE000TUAG505,Consumer Discretionary,GERMANY,EUR
Carlsberg A/S,DK0010181759,Consumer Staples,DENMARK,EUR
Rockwool A/S,DK0010219153,Industrials,DENMARK,EUR
FLSmidth & Co. A/S,DK0010234467,Industrials,DENMARK,EUR
AP Moller - Maersk AS,DK0010244508,Industrials,DENMARK,EUR
GN Store Nord A/S,DK0010272632,Information Technology,DENMARK,EUR
Danske Bank A/S,DK0010274414,Financials,DENMARK,EUR
NKT A/S,DK0010287663,Industrials,DENMARK,EUR
Jyske Bank A/S,DK0010307958,Financials,DENMARK,EUR
Sydbank A/S,DK0010311471,Financials,DENMARK,EUR
DSV A/S,DK0060079531,Industrials,DENMARK,EUR
Coloplast A/S,DK0060448595,Health Care,DENMARK,EUR
Topdanmark A/S,DK0060477503,Financials,DENMARK,EUR
Demant A/S,DK0060738599,Health Care,DENMARK,EUR
Vestas Wind Systems A/S,DK0061539921,Industrials,DENMARK,EUR
Eastern Company S.A.E,EGS37091C013,Consumer Staples,EGYPT,EM
Ezz Steel Company (S.A.E),EGS3C251C013,Materials,EGYPT,EM
Al Ezz Dekheila Steel Company - Alexandria S.A.E.,EGS3D041C017,Materials,EGYPT,EM
QNB Alahli S.A.E,EGS60081C014,Financials,EGYPT,EM
Commercial International Bank (Egypt) S.A.E,EGS60121C018,Financials,EGYPT,EM
"Ebro Foods, S.A.",ES0112501012,Consumer Staples,SPAIN,EUR
"Banco Bilbao Vizcaya Argentaria, S.A.",ES0113211835,Financials,SPAIN,EUR
"Bankinter, S.A.",ES0113679I37,Financials,SPAIN,EUR
"Banco Santander, S.A.",ES0113900J37,Financials,SPAIN,EUR
"Naturgy Energy Group, S.A.",ES0116870314,Utilities,SPAIN,EUR
Corporacion Financiera Alba,ES0117160111,Financials,SPAIN,EUR
"Indra Sistemas, S.A.",ES0118594417,Information Technology,SPAIN,EUR
"Fomento de Construcciones y Contratas, S.A.",ES0122060314,Industrials,SPAIN,EUR
"Mapfre, S.A.",ES0124244E34,Financials,SPAIN,EUR
"Acciona, S.A.",ES0125220311,Industrials,SPAIN,EUR
"Endesa, S.A.",ES0130670112,Utilities,SPAIN,EUR
"Acerinox, S.A.",ES0132105018,Materials,SPAIN,EUR
"Faes Farma, S.A.",ES0134950F36,Health Care,SPAIN,EUR
Obrascon Huarte,ES0142090317,Industrials,SPAIN,EUR
"Iberdrola, S.A.",ES0144580Y14,Utilities,SPAIN,EUR
"NH Hotel Group, S.A.",ES0161560018,Consumer Discretionary,SPAIN,EUR
ACS Actividades de Construccion y Servicios SA,ES0167050915,Industrials,SPAIN,EUR
Red Electrica Corporacion SA,ES0173093024,Utilities,SPAIN,EUR
"Repsol, S.A.",ES0173516115,Energy,SPAIN,EUR
Telefonica SA,ES0178430E18,Communication Services,SPAIN,EUR
"Sacyr, S.A.",ES0182870214,Industrials,SPAIN,EUR
Kesko Oyj,FI0009000202,Consumer Staples,FINLAND,EUR
TietoEVRY Oyj,FI0009000277,Information Technology,FINLAND,EUR
Huhtamaki Oyj,FI0009000459,Materials,FINLAND,EUR
Nokia Oyj,FI0009000681,Information Technology,FINLAND,EUR
Uponor Oyj,FI0009002158,Industrials,FINLAND,EUR
Outokumpu Oyj,FI0009002422,Materials,FINLAND,EUR
Wartsila Oyj,FI0009003727,Industrials,FINLAND,EUR
Nokian Renkaat Oyj,FI0009005318,Consumer Discretionary,FINLAND,EUR
Konecranes Plc,FI0009005870,Industrials,FINLAND,EUR
Stora Enso OYJ,FI0009005961,Materials,FINLAND,EUR
UPM-Kymmene Oyj,FI0009005987,Materials,FINLAND,EUR
Fortum Oyj,FI0009007132,Utilities,FINLAND,EUR
Sanoma OYJ,FI0009007694,Consumer Discretionary,FINLAND,EUR
Elisa Oyj,FI0009007884,Communication Services,FINLAND,EUR
KONE Oyj,FI0009013403,Industrials,FINLAND,EUR
YIT Oyj,FI0009800643,Industrials,FINLAND,EUR
Nordea Bank Abp,FI4000297767,Financials,SWEDEN,EUR
Icade,FR0000035081,Real Estate,FRANCE,EUR
Seche Environnement,FR0000039109,Industrials,FRANCE,EUR
Etablissements Maurel & Prom S.A.,FR0000051070,Energy,FRANCE,EUR
AtoS SE,FR0000051732,Information Technology,FRANCE,EUR
Hermes Intl,FR0000052292,Consumer Discretionary,FRANCE,EUR
M6 - Metropole TV,FR0000053225,Consumer Discretionary,FRANCE,EUR
Ubisoft Entertainment SA,FR0000054470,Information Technology,FRANCE,EUR
TF1 SA,FR0000054900,Consumer Discretionary,FRANCE,EUR
Covivio,FR0000064578,Real Estate,FRANCE,EUR
Safran SA,FR0000073272,Industrials,FRANCE,EUR
L'Air Liquide S.A.,FR0000120073,Materials,FRANCE,EUR
Carrefour SA,FR0000120172,Consumer Staples,FRANCE,EUR
TotalEnergies SE,FR0000120271,Energy,FRANCE,EUR
L'Oreal,FR0000120321,Consumer Staples,FRANCE,EUR
Accor SA,FR0000120404,Consumer Discretionary,FRANCE,EUR
Bouygues SA,FR0000120503,Industrials,FRANCE,EUR
Quadient S.A.,FR0000120560,Information Technology,FRANCE,EUR
Sanofi,FR0000120578,Health Care,FRANCE,EUR
AXA SA,FR0000120628,Financials,FRANCE,EUR
Danone S.A.,FR0000120644,Consumer Staples,FRANCE,EUR
Pernod Ricard SA,FR0000120693,Consumer Staples,FRANCE,EUR
Imerys S.A.,FR0000120859,Materials,FRANCE,EUR
BIC,FR0000120966,Industrials,FRANCE,EUR
